path,tier,domain,review_mode,status,owner,notes
.dockerignore,B,misc,standard-file,reviewed,ops,build context exclusions aligned with release intent
.github/workflows/ci.yml,A,ci-release,deep-file+function,fixed,releng,pytest + web lint + web typecheck gates added
.github/workflows/docs.yml,A,ci-release,deep-file+function,reviewed,releng,pages deploy pipeline validated for docs-only trigger and least-privilege permissions
.github/workflows/release.yml,A,ci-release,deep-file+function,fixed,releng,pytest + web lint + web typecheck gates added
.gitignore,B,misc,standard-file,reviewed,ops,ignore rules align with local-runtime and release artifact expectations
CHANGELOG.md,B,misc,standard-file,fixed,ops,governance asset added
LICENSE,B,misc,standard-file,reviewed,ops,Apache-2.0 license text present and intact
MANIFEST.in,B,misc,standard-file,reviewed,ops,sdist inclusion list matches runtime resources and web dist packaging
README.ja.md,A,misc,deep-file+function,fixed,ops,status/install/source-url wording refreshed for release-line consistency
README.md,A,misc,deep-file+function,fixed,ops,restructured to product-level positioning + value + adoption narrative
README.zh-CN.md,A,misc,deep-file+function,fixed,ops,restructured to product-level positioning + value + adoption narrative (zh-CN)
SECURITY.md,B,misc,standard-file,fixed,ops,governance asset added
SUPPORT.md,B,misc,standard-file,fixed,ops,governance asset added
docker/Dockerfile,B,docker,standard-file,reviewed,ops,multi-stage build and runtime toolchain validated; no release blocker found
docs/.vitepress/config.ts,B,docs-other,standard-file,reviewed,docs,sidebar/nav/release-doc wiring reviewed; no parity blocker
docs/assets/screenshots/chat-placeholder.svg,B,docs-other,standard-file,reviewed,docs,static placeholder asset reviewed (non-runtime)
docs/assets/screenshots/terminal-placeholder.svg,B,docs-other,standard-file,reviewed,docs,static placeholder asset reviewed (non-runtime)
docs/guide/best-practices.md,B,docs-guide,standard-file,reviewed,docs,guidance customization and help-consumption flow reviewed
docs/guide/faq.md,B,docs-guide,standard-file,fixed,docs,install/source links and MCP wording updated to remove stale rc/tool-count drift
docs/guide/getting-started/cli.md,B,docs-guide,standard-file,reviewed,docs,quick-start command flow reviewed
docs/guide/getting-started/index.md,B,docs-guide,standard-file,fixed,docs,install instructions updated to non-stale PyPI/TestPyPI and source URL
docs/guide/getting-started/web.md,B,docs-guide,standard-file,reviewed,docs,web quick-start flow reviewed
docs/guide/im-bridge/dingtalk.md,B,docs-guide,standard-file,reviewed,docs,dingtalk setup/permissions/commands reviewed
docs/guide/im-bridge/discord.md,B,docs-guide,standard-file,fixed,docs,rc19-im-parity-pass
